,ANO,CAMPEÃO
0,1960,Real Madrid
1,1961,Peñarol
2,1962,Santos
3,1963,Santos
4,1964,Inter de Milão
5,1965,Inter de Milão
6,1966,Peñarol
7,1967,Racing
8,1968,Estudiantes
9,1969,Milan
10,1970,Feyenoord
11,1971,Nacional
12,1972,Ajax
13,1973,Independiente
14,1974,Atlético de Madrid
15,1976,Bayern de Munique
16,1977,Boca Juniors
17,1979,Olimpia
18,1980,Nacional
19,1981,Flamengo
20,1982,Peñarol
21,1983,Grêmio
22,1984,Independiente
23,1985,Juventus
24,1986,River Plate
25,1987,Porto
26,1988,Nacional
27,1989,Milan
28,1990,Milan
29,1991,Estrela Vermelha
30,1992,São Paulo
31,1993,São Paulo
32,1994,Vélez Sárfield
33,1995,Ajax
34,1996,Juventus
35,1997,Borussia Dortmund
36,1998,Real Madrid
37,1999,Manchester United
38,2000,Boca Juniors
39,2000,Corinthians
40,2001,Bayern de Munique
41,2002,Real Madrid
42,2003,Boca Juniors
43,2004,Porto
44,2005,São Paulo
45,2006,Internacional
46,2007,Milan
47,2008,Manchester United
48,2009,Barcelona
49,2010,Inter de Milão
50,2011,Barcelona
51,2012,Corinthians
52,2013,Bayern de Munique
53,2014,Real Madrid
54,2015,Barcelona
55,2016,Real Madrid
56,2017,Real Madrid
57,2018,Real Madrid
58,2019,Liverpool
59,2020,Bayern de Munique
60,2021,Chelsea
